gene,ctd,number of occurrences
Bipolar Disorder
LOC107984008,NF,115571
STK32A-AS1,NF,115571
CABLES1,NDE,107356
LOC105372022,NF,107110
LOC284930,NF,101287
LINC00898,NF,101265
LRRC37B,NDE,73559
CDR2L,NDE,47084
LOC107984763,NF,43382
BUB1B,NDE,43382
LRRC31,NDE,39028
ANKRD26P1,NF,32707
LOC105376945,NF,27645
NPHP3-ACAD11,NF,26779
ACAD11,NDE,23254
GABRA3,NDE,23176
GEMIN2,NF,22955
LRRC3C,NF,17090
LOC105372753,NF,16368
LOC105376499,NF,13868
unknown,NF,13787
CATSPER3,NF,13428
HSD17B2,NDE,12430
LOC105371363,NF,12332
MIR105-2,NF,11642
MIR767,NDE,11642
EIF2S3,NF,10526
LOC105377114,NF,10322
LOC105377115,NF,10109
MIR105-1,NF,9684
CLCN5,NDE,9225
MIR892A,NF,9161
MIR892B,NF,9161
MCPH1,NDE,9145
LOC100287015,NF,8990
LOC100506747,NF,8655
MARCH6,NDE,7896
CDKL5,NF,7753
LOC105371748,NF,7511
LOC105371749,NF,7511
LOC100507554,NF,7342
C1orf185,NF,7286
RPL37A,NDE,7024
LOC648987,NF,6973
LOC100132356,NF,6973
LOC100506639,NF,6973
CASC11,NF,6780
LOC101928324,NF,6700
DHDDS,NDE,6700
STRA8,NF,6672
TRAPPC2,NDE,6463
DNAJB9,NDE,6416
PKLR,NDE,6385
F8,NDE,6311
LOC105376042,NF,6308
LOC105372864,NF,6078
RTN4R,NDE,6078
ZNF286B,NF,6006
FOXO3B,NDE,6006
P2RY10,NDE,5788
TMED5,NDE,5671
NELFA,NDE,5604
ATG16L2,NDE,5458
MIR7113,NF,5369
MIR4691,NF,5369
NDUFS8,NDE,5369
LOC107985684,NF,5329
PRODH2,NDE,5149
CSAG4,NF,5058
MAGEA12,NDE,5058
FUK,NDE,4969
POLA2,NDE,4952
LOC105371260,NF,4904
LIX1L,NDE,4904
LOC101929129,NF,4849
MIR188,NF,4768
MIR532,NF,4768
LOC105369339,NF,4674
LINC01204,NF,4659
LOC100996716,NF,4624
LOC653513,NF,4624
ARMC8,NDE,4547
MRPS11,NDE,4526
NABP1,NDE,4487
RPS21,NDE,4429
MIR500A,NF,4408
TMEM39B,NDE,4289
DUT,NDE,4150
ZBTB24,NDE,4146
DOCK11,NDE,4104
SNORA63E,NF,4089
LINC00888,NDE,4089
NFS1,NDE,4014
ROMO1,NDE,4006
HOXA3,NDE,3987
HOXA-AS3,NF,3985
HOXA5,NDE,3983
FICD,NDE,3972
NRAV,NDE,3918
DYNLL1,NDE,3918
LOC107987181,NF,3918
IRAK1,NDE,3914
ZFX,NDE,3911
LOC105375805,NF,3880
TXN,NDE,3844
PALB2,NDE,3825
WRB-SH3BGR,NF,3811
SH3BGR,NDE,3811
SPRY3,NF,3718
LOC107986062,NF,3695
KDM6A,NDE,3653
LINC01282,NF,3633
LINC02154,NF,3632
NPM2,NDE,3627
PYHIN1,NF,3620
ARPC4-TTLL3,NF,3602
NDUFA1,NDE,3574
LOC105375414,NF,3527
UBA5,NDE,3525
RAB9A,NDE,3523
MAGIX,NF,3510
AK2,NDE,3497
ARPC4,NDE,3472
DLGAP5,NDE,3462
CSAG1,NF,3398
CACNA1F,NDE,3395
SCARA3,NDE,3378
LOC100506489,NF,3378
LOC105375461,NF,3378
